"product_id","product_name","product_description","price","brand","registration_date","category_name","sub_category","category_description"
"zIOo4MR9ay","Innovative sofas","This Smart is one of a kind. It offers unparalleled performance and convenience.",50.53,"EcoDrive",2024-02-02,"Furniture","sofas","Furniture items"
"zAXNfGTAMi","Essential tables","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",390.8,"EcoTech",2022-01-23,"Furniture","tables","Furniture items"
"U3mPyHq5sT","Compact bookshelves","This Wireless is one of a kind. It offers unparalleled performance and convenience.",350.65,"NextGen",2022-05-07,"Furniture","bookshelves","Furniture items"
"6KpHap4hhS","Durable cabinets","This Essential is one of a kind. It offers unparalleled performance and convenience.",451.91,"EcoTech",2022-09-12,"Furniture","cabinets","Furniture items"
"RYvEDQKrAU","Wireless beds","This Compact is one of a kind. It offers unparalleled performance and convenience.",392.96,"Elevate",2023-08-31,"Furniture","beds","Furniture items"
"QYeyEEnp7x","High-quality bookshelves","This Wireless is one of a kind. It offers unparalleled performance and convenience.",919.13,"SonicPlus",2023-02-04,"Furniture","bookshelves","Furniture items"
"98vV9LeJL9","Smart chairs","This Smart is one of a kind. It offers unparalleled performance and convenience.",182.28,"EcoTech",2022-10-23,"Furniture","chairs","Furniture items"
"eBxtwiMm0w","Amazing juicer, mixer","This Wireless is one of a kind. It offers unparalleled performance and convenience.",158.37,"FutureVision",2023-02-08,"Kitchen_Appliances","juicer, mixer","Kitchen items"
"zMknhTUJhp","Portable blender","This Essential is one of a kind. It offers unparalleled performance and convenience.",617.07,"NextGen",2022-05-12,"Kitchen_Appliances","blender","Kitchen items"
"QVf8LP5vps","Eco-friendly blender","This Durable is one of a kind. It offers unparalleled performance and convenience.",27.07,"NextGen",2022-01-09,"Kitchen_Appliances","blender","Kitchen items"
"w4NX6nj3Tv","Innovative toaster","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",75.45,"TechGuru",2023-09-25,"Kitchen_Appliances","toaster","Kitchen items"
"2IVbGQMw74","Essential coffee maker","This Smart is one of a kind. It offers unparalleled performance and convenience.",781.05,"TechGuru",2022-08-29,"Kitchen_Appliances","coffee maker","Kitchen items"
"xRMA3eZzb4","Compact food processor","This Amazing is one of a kind. It offers unparalleled performance and convenience.",936.3,"EcoTech",2022-08-11,"Kitchen_Appliances","food processor","Kitchen items"
"AT0RGwiATg","Durable juicer, mixer","This Essential is one of a kind. It offers unparalleled performance and convenience.",215.13,"EcoTech",2022-09-23,"Kitchen_Appliances","juicer, mixer","Kitchen items"
"SxiO7ErRUg","Wireless juicer, mixer","This Essential is one of a kind. It offers unparalleled performance and convenience.",646.91,"SonicPlus",2023-02-21,"Kitchen_Appliances","juicer, mixer","Kitchen items"
"l9qwaVB0s8","High-quality coffee maker","This Innovative is one of a kind. It offers unparalleled performance and convenience.",338.07,"InnoVate",2023-06-13,"Kitchen_Appliances","coffee maker","Kitchen items"
"1wIAOSQWq3","Smart microwave","This High-quality is one of a kind. It offers unparalleled performance and convenience.",955.87,"Elevate",2022-08-05,"Kitchen_Appliances","microwave","Kitchen items"
"YgefTyOqkX","Amazing camping gear","This Portable is one of a kind. It offers unparalleled performance and convenience.",819.02,"InnoVate",2024-02-08,"Sports_Outdoor","camping gear","Sports items"
"sS0jiBeXKd","Portable bicycles","This Smart is one of a kind. It offers unparalleled performance and convenience.",742.87,"InnoVate",2023-07-30,"Sports_Outdoor","bicycles","Sports items"
"phL7Ovnlxz","Eco-friendly fishing gear","This Portable is one of a kind. It offers unparalleled performance and convenience.",230.48,"Elevate",2023-05-19,"Sports_Outdoor","fishing gear","Sports items"
"b1KH72MKAc","Innovative fishing gear","This Portable is one of a kind. It offers unparalleled performance and convenience.",55.27,"NextGen",2023-08-09,"Sports_Outdoor","fishing gear","Sports items"
"OxeKC7zNYj","Essential hiking gear","This Compact is one of a kind. It offers unparalleled performance and convenience.",372.86,"SonicPlus",2023-07-28,"Sports_Outdoor","hiking gear","Sports items"
"rZ0ulN53op","Compact fitness equipment","This Smart is one of a kind. It offers unparalleled performance and convenience.",743.98,"EcoDrive",2022-06-06,"Sports_Outdoor","fitness equipment","Sports items"
"e8LjuhEdHx","Durable fishing gear","This High-quality is one of a kind. It offers unparalleled performance and convenience.",934.17,"UltraGear",2023-03-08,"Sports_Outdoor","fishing gear","Sports items"
"9PF5pWfPqj","Wireless bicycles","This Durable is one of a kind. It offers unparalleled performance and convenience.",676.48,"TechGuru",2023-06-22,"Sports_Outdoor","bicycles","Sports items"
"Lwe2aP4Wxh","High-quality camping gear","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",704.34,"Elevate",2023-09-21,"Sports_Outdoor","camping gear","Sports items"
"YFmepeTUNR","Smart camping gear","This Essential is one of a kind. It offers unparalleled performance and convenience.",849.15,"NextGen",2023-05-01,"Sports_Outdoor","camping gear","Sports items"
"ov9kyyLOw6","Amazing haircare products","This Amazing is one of a kind. It offers unparalleled performance and convenience.",709.1,"Elevate",2022-12-04,"Beauty_Cosmetics","haircare products","Beauty products"
"vLXXiP9Lc3","Portable makeup","This High-quality is one of a kind. It offers unparalleled performance and convenience.",860.22,"NextGen",2023-07-01,"Beauty_Cosmetics","makeup","Beauty products"
"qDX8KcFdUw","Eco-friendly beauty accessories","This Compact is one of a kind. It offers unparalleled performance and convenience.",451.19,"FutureVision",2023-11-20,"Beauty_Cosmetics","beauty accessories","Beauty products"
"rMJpSJ64gf","Innovative grooming tools","This Compact is one of a kind. It offers unparalleled performance and convenience.",679.87,"UltraGear",2023-10-03,"Beauty_Cosmetics","grooming tools","Beauty products"
"uIvCnD1rgw","Essential nail care","This High-quality is one of a kind. It offers unparalleled performance and convenience.",136.55,"SonicPlus",2023-03-20,"Beauty_Cosmetics","nail care","Beauty products"
"fqMOZ5Cakr","Compact makeup","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",738.81,"EcoDrive",2023-01-03,"Beauty_Cosmetics","makeup","Beauty products"
"Nn3cMauCMf","Durable nail care","This Wireless is one of a kind. It offers unparalleled performance and convenience.",76.57,"Elevate",2022-07-25,"Beauty_Cosmetics","nail care","Beauty products"
"lWpWVQM7IH","Wireless skincare products","This Portable is one of a kind. It offers unparalleled performance and convenience.",287.99,"FutureVision",2022-12-16,"Beauty_Cosmetics","skincare products","Beauty products"
"lm8VbVNQ0u","High-quality perfumes","This Durable is one of a kind. It offers unparalleled performance and convenience.",417.5,"SonicPlus",2022-03-06,"Beauty_Cosmetics","perfumes","Beauty products"
"4VobQYmAyT","Smart nail care","This Smart is one of a kind. It offers unparalleled performance and convenience.",943.99,"TechGuru",2023-03-18,"Beauty_Cosmetics","nail care","Beauty products"
"vtkfe4QWwi","Amazing dolls","This Compact is one of a kind. It offers unparalleled performance and convenience.",977.57,"Elevate",2023-07-21,"Toys_Games","dolls","Games"
"iT7mRQ19Ql","Portable outdoor play equipment","This High-quality is one of a kind. It offers unparalleled performance and convenience.",48.48,"NextGen",2023-11-12,"Toys_Games","outdoor play equipment","Games"
"0buhGqKZQ3","Eco-friendly outdoor play equipment","This Smart is one of a kind. It offers unparalleled performance and convenience.",591.85,"NextGen",2022-08-07,"Toys_Games","outdoor play equipment","Games"
"jXk3iIHp52","Innovative puzzles","This Durable is one of a kind. It offers unparalleled performance and convenience.",39.71,"Elevate",2023-08-13,"Toys_Games","puzzles","Games"
"LXbGCNTp7f","Essential outdoor play equipment","This Essential is one of a kind. It offers unparalleled performance and convenience.",569.63,"InnoVate",2023-06-28,"Toys_Games","outdoor play equipment","Games"
"UtY7RBQDxR","Compact outdoor play equipment","This Durable is one of a kind. It offers unparalleled performance and convenience.",107.24,"FutureVision",2022-11-01,"Toys_Games","outdoor play equipment","Games"
"m9rCBAZjsh","Durable building blocks","This Durable is one of a kind. It offers unparalleled performance and convenience.",633.99,"UltraGear",2022-05-22,"Toys_Games","building blocks","Games"
"To1zdQ1kCz","Wireless building blocks","This Durable is one of a kind. It offers unparalleled performance and convenience.",820.32,"EcoTech",2022-12-14,"Toys_Games","building blocks","Games"
"uijTrAcIS2","High-quality action figures","This Smart is one of a kind. It offers unparalleled performance and convenience.",356.54,"EcoDrive",2023-08-19,"Toys_Games","action figures","Games"
"B3wLWcEVoL","Smart outdoor play equipment","This Portable is one of a kind. It offers unparalleled performance and convenience.",142.64,"NextGen",2023-09-23,"Toys_Games","outdoor play equipment","Games"
"r2ykGfLwK1","Amazing tools","This Innovative is one of a kind. It offers unparalleled performance and convenience.",90.13,"TechGuru",2022-08-08,"Automotive","tools","vehicle parts"
"LOMxNXvuFi","Portable car accessories","This Innovative is one of a kind. It offers unparalleled performance and convenience.",356.94,"TechGuru",2023-01-08,"Automotive","car accessories","vehicle parts"
"LYkor2DMIj","Eco-friendly tools","This High-quality is one of a kind. It offers unparalleled performance and convenience.",996.31,"SonicPlus",2023-02-18,"Automotive","tools","vehicle parts"
"huqmOZ4sxV","Innovative maintenance supplies","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",537.64,"EcoTech",2022-10-20,"Automotive","maintenance supplies","vehicle parts"
"v8EUTQ2diL","Essential interior accessories","This High-quality is one of a kind. It offers unparalleled performance and convenience.",342.54,"SonicPlus",2023-03-16,"Automotive","interior accessories","vehicle parts"
"wk3yD2GiFE","Compact interior accessories","This Innovative is one of a kind. It offers unparalleled performance and convenience.",321.09,"InnoVate",2023-04-21,"Automotive","interior accessories","vehicle parts"
"1Gg23OUdi4","Durable exterior accessories","This Wireless is one of a kind. It offers unparalleled performance and convenience.",388.8,"InnoVate",2023-07-06,"Automotive","exterior accessories","vehicle parts"
"QyoDU0GSjz","Wireless car electronics","This High-quality is one of a kind. It offers unparalleled performance and convenience.",28.36,"PrimeTech",2022-04-17,"Automotive","car electronics","vehicle parts"
"KwxtUmngaK","High-quality car care products","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",46.17,"NextGen",2022-06-15,"Automotive","car care products","vehicle parts"
"0450K7a20A","Smart car accessories","This Compact is one of a kind. It offers unparalleled performance and convenience.",879.73,"Elevate",2024-01-17,"Automotive","car accessories","vehicle parts"
"plGBD33942","Amazing beds and furniture","This Essential is one of a kind. It offers unparalleled performance and convenience.",408.04,"NextGen",2023-06-25,"Pet_Supplies","beds and furniture","pet supplies"
"Wmh41R9ihs","Portable collars and leashes","This Essential is one of a kind. It offers unparalleled performance and convenience.",474.69,"FutureVision",2023-09-15,"Pet_Supplies","collars and leashes","pet supplies"
"Kyz2toiHVQ","Eco-friendly pet food","This Durable is one of a kind. It offers unparalleled performance and convenience.",408.31,"NextGen",2023-11-16,"Pet_Supplies","pet food","pet supplies"
"bvEGjkvSrJ","Innovative collars and leashes","This High-quality is one of a kind. It offers unparalleled performance and convenience.",705.07,"UltraGear",2023-08-14,"Pet_Supplies","collars and leashes","pet supplies"
"Cv3PSPfkuo","Essential pet food","This Smart is one of a kind. It offers unparalleled performance and convenience.",405.17,"InnoVate",2023-03-13,"Pet_Supplies","pet food","pet supplies"
"5BdsaGsBU0","Compact carriers and travel products","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",506.94,"FutureVision",2023-06-06,"Pet_Supplies","carriers and travel products","pet supplies"
"MR7cIEMtzj","Durable pet grooming supplies","This Smart is one of a kind. It offers unparalleled performance and convenience.",46.6,"EcoDrive",2023-09-03,"Pet_Supplies","pet grooming supplies","pet supplies"
"zXQx941bhn","Wireless collars and leashes","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",305,"Elevate",2023-05-18,"Pet_Supplies","collars and leashes","pet supplies"
"89zOBTXKzW","High-quality beds and furniture","This High-quality is one of a kind. It offers unparalleled performance and convenience.",963.21,"NextGen",2023-12-23,"Pet_Supplies","beds and furniture","pet supplies"
"8RcC8mdHBG","Smart carriers and travel products","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",935.75,"PrimeTech",2022-03-14,"Pet_Supplies","carriers and travel products","pet supplies"
